,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,
1,"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,
2,"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,
3,"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,
4,"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,
5,"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,
6,"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,19744,
7,"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,
8,"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,
9,"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,
10,"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,
11,"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,
12,"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,
13,"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,
14,"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,
15,"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,
16,"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,
17,"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,
18,"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,
19,"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,19060,
20,"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,
21,"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,
22,"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,
23,"Fri, Oct 31, 2014",10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,
24,"Fri, Oct 31, 2014",10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,
25,"Fri, Oct 31, 2014",10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,
0,"Sat, Nov 1, 2014",7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,18133,
1,"Sat, Nov 1, 2014",7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,14547,
2,"Sat, Nov 1, 2014",7:00p,Toronto Raptors,108,Orlando Magic,95,Box Score,,16141,
3,"Sat, Nov 1, 2014",7:00p,Miami Heat,114,Philadelphia 76ers,96,Box Score,,19753,
4,"Sat, Nov 1, 2014",7:00p,Milwaukee Bucks,97,Washington Wizards,108,Box Score,,17992,
5,"Sat, Nov 1, 2014",7:30p,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,19118,
6,"Sat, Nov 1, 2014",7:30p,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,19904,
7,"Sat, Nov 1, 2014",8:00p,Boston Celtics,90,Houston Rockets,104,Box Score,,18309,
8,"Sat, Nov 1, 2014",8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,19356,
9,"Sat, Nov 1, 2014",8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,,18203,
10,"Sat, Nov 1, 2014",9:00p,Phoenix Suns,91,Utah Jazz,118,Box Score,,17721,
11,"Sat, Nov 1, 2014",10:30p,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,19596,
12,"Sun, Nov 2, 2014",3:30p,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,,19060,
13,"Sun, Nov 2, 2014",6:00p,Toronto Raptors,102,Miami Heat,107,Box Score,,19666,
14,"Sun, Nov 2, 2014",7:30p,Charlotte Hornets,93,New York Knicks,96,Box Score,,19812,
15,"Sun, Nov 2, 2014",9:00p,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,,19441,
16,"Mon, Nov 3, 2014",7:00p,Houston Rockets,104,Philadelphia 76ers,93,Box Score,,12896,
17,"Mon, Nov 3, 2014",7:30p,Oklahoma City Thunder,85,Brooklyn Nets,116,Box Score,,17732,
18,"Mon, Nov 3, 2014",8:00p,New Orleans Pelicans,81,Memphis Grizzlies,93,Box Score,,15302,
19,"Mon, Nov 3, 2014",8:30p,Boston Celtics,113,Dallas Mavericks,118,Box Score,,19948,
20,"Mon, Nov 3, 2014",9:00p,Sacramento Kings,110,Denver Nuggets,105,Box Score,,12516,
21,"Mon, Nov 3, 2014",10:30p,Utah Jazz,101,Los Angeles Clippers,107,Box Score,,19060,
22,"Tue, Nov 4, 2014",7:00p,Milwaukee Bucks,87,Indiana Pacers,81,Box Score,,15012,
23,"Tue, Nov 4, 2014",7:30p,Houston Rockets,108,Miami Heat,91,Box Score,,19666,
24,"Tue, Nov 4, 2014",7:30p,Washington Wizards,98,New York Knicks,83,Box Score,,19812,
25,"Tue, Nov 4, 2014",7:30p,Oklahoma City Thunder,88,Toronto Raptors,100,Box Score,,18877,
26,"Tue, Nov 4, 2014",8:00p,Orlando Magic,90,Chicago Bulls,98,Box Score,,21809,
27,"Tue, Nov 4, 2014",8:00p,Charlotte Hornets,91,New Orleans Pelicans,100,Box Score,,14840,
28,"Tue, Nov 4, 2014",10:00p,Cleveland Cavaliers,82,Portland Trail Blazers,101,Box Score,,19441,
29,"Tue, Nov 4, 2014",10:30p,Phoenix Suns,112,Los Angeles Lakers,106,Box Score,,18997,
30,"Wed, Nov 5, 2014",7:00p,Miami Heat,89,Charlotte Hornets,96,Box Score,,15874,
31,"Wed, Nov 5, 2014",7:00p,Orlando Magic,91,Philadelphia 76ers,89,Box Score,,12111,
32,"Wed, Nov 5, 2014",7:30p,Toronto Raptors,110,Boston Celtics,107,Box Score,,16249,
33,"Wed, Nov 5, 2014",7:30p,Minnesota Timberwolves,98,Brooklyn Nets,91,Box Score,,16302,
34,"Wed, Nov 5, 2014",7:30p,New York Knicks,95,Detroit Pistons,98,Box Score,,11915,
35,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
36,"Wed, Nov 5, 2014",8:00p,Chicago Bulls,95,Milwaukee Bucks,86,Box Score,,13098,
37,"Wed, Nov 5, 2014",8:00p,Indiana Pacers,94,Washington Wizards,96,Box Score,OT,15268,
